etudiant_id,texte,timestamp,sentiment
1,"Le Labo Réseaux est souvent plein, impossible de trouver une machine libre après 9h",2026-05-10T15:00:00+00:00,
2,"Amphi 600 trop froid le matin, la climatisation est trop forte",2026-05-12T10:00:00+00:00,
3,"La bibliothèque ferme trop tôt, on ne peut pas réviser le soir",2026-05-14T14:00:00+00:00,
4,"Très bon encadrement au Labo Radiocommunications, les équipements sont récents",2026-05-16T13:00:00+00:00,
5,"Le Restaurant Universitaire est bondé entre 12h et 13h, les files sont trop longues",2026-05-18T08:00:00+00:00,
1,"L'Incubateur SUP'PTIC est une excellente initiative, j'aimerais qu'il soit plus accessible",2026-05-20T10:00:00+00:00,
2,"Le Bloc Pédagogique B manque de climatisation, difficile de se concentrer",2026-05-22T15:00:00+00:00,
3,Les créneaux du Labo Sécurité des Systèmes sont mal répartis dans l'emploi du temps,2026-05-24T15:00:00+00:00,
4,"L'Amphi 200 est bien adapté pour les cours en petit groupe, très bien équipé",2026-05-26T09:00:00+00:00,
5,Il faudrait plus de prises électriques dans les salles de TD pour nos laptops,2026-05-28T14:00:00+00:00,
1,"Le wifi est instable au Bloc Pédagogique A, surtout en période d'examens",2026-05-30T15:00:00+00:00,
2,"Très satisfait du Labo Informatique, les machines sont performantes",2026-10-02T08:00:00+00:00,
3,"La Direction Générale est difficile d'accès, les rendez-vous prennent trop de temps",2026-10-04T09:00:00+00:00,
4,"Les TP au Labo Réseaux sont très pratiques, on travaille directement sur des équipements Cisco",2026-10-06T12:00:00+00:00,
5,"Manque de signalétique sur le campus pour retrouver les salles, surtout pour les nouveaux",2026-10-08T13:00:00+00:00,
