location_id,timestamp,heure_du_jour,jour_semaine,activite_prevue,nombre_etudiants,niveau_congestion
1,2024-09-09 07:00:00,7,0,0,3,faible
2,2024-09-09 07:00:00,7,0,0,0,faible
3,2024-09-09 07:00:00,7,0,0,1,faible
4,2024-09-09 07:00:00,7,0,0,0,faible
5,2024-09-09 07:00:00,7,0,0,15,faible
6,2024-09-09 07:00:00,7,0,0,32,faible
7,2024-09-09 07:00:00,7,0,0,38,faible
8,2024-09-09 07:00:00,7,0,0,2,faible
9,2024-09-09 07:00:00,7,0,0,4,faible
10,2024-09-09 07:00:00,7,0,0,2,faible
11,2024-09-09 07:00:00,7,0,0,2,faible
12,2024-09-09 07:00:00,7,0,0,2,faible
13,2024-09-09 07:00:00,7,0,0,2,faible
14,2024-09-09 07:00:00,7,0,0,11,faible
15,2024-09-09 07:00:00,7,0,0,5,faible
16,2024-09-09 07:00:00,7,0,0,7,faible
17,2024-09-09 07:00:00,7,0,0,3,faible
18,2024-09-09 07:00:00,7,0,0,5,faible
19,2024-09-09 07:00:00,7,0,0,7,faible
20,2024-09-09 07:00:00,7,0,0,5,faible
21,2024-09-09 07:00:00,7,0,0,7,faible
22,2024-09-09 07:00:00,7,0,0,7,faible
23,2024-09-09 07:00:00,7,0,0,6,faible
24,2024-09-09 07:00:00,7,0,0,5,faible
25,2024-09-09 07:00:00,7,0,0,8,faible
26,2024-09-09 07:00:00,7,0,0,4,faible
27,2024-09-09 07:00:00,7,0,0,3,faible
28,2024-09-09 07:00:00,7,0,0,7,faible
29,2024-09-09 07:00:00,7,0,0,4,faible
30,2024-09-09 07:00:00,7,0,0,2,faible
31,2024-09-09 07:00:00,7,0,0,2,faible
32,2024-09-09 07:00:00,7,0,0,3,faible
33,2024-09-09 07:00:00,7,0,0,4,faible
34,2024-09-09 07:00:00,7,0,0,3,faible
35,2024-09-09 07:00:00,7,0,0,18,faible
36,2024-09-09 07:00:00,7,0,0,1,faible
37,2024-09-09 07:00:00,7,0,0,2,faible
38,2024-09-09 07:00:00,7,0,0,22,faible
1,2024-09-09 08:00:00,8,0,1,7,faible
2,2024-09-09 08:00:00,8,0,1,7,faible
3,2024-09-09 08:00:00,8,0,1,4,faible
4,2024-09-09 08:00:00,8,0,1,0,faible
5,2024-09-09 08:00:00,8,0,1,57,moyen
6,2024-09-09 08:00:00,8,0,1,88,moyen
7,2024-09-09 08:00:00,8,0,1,71,moyen
8,2024-09-09 08:00:00,8,0,1,1,faible
9,2024-09-09 08:00:00,8,0,1,2,faible
10,2024-09-09 08:00:00,8,0,0,3,faible
11,2024-09-09 08:00:00,8,0,1,2,faible
12,2024-09-09 08:00:00,8,0,1,2,faible
13,2024-09-09 08:00:00,8,0,1,1,faible
14,2024-09-09 08:00:00,8,0,1,3,faible
15,2024-09-09 08:00:00,8,0,1,4,faible
16,2024-09-09 08:00:00,8,0,0,6,faible
17,2024-09-09 08:00:00,8,0,1,4,faible
18,2024-09-09 08:00:00,8,0,1,7,faible
19,2024-09-09 08:00:00,8,0,1,3,faible
20,2024-09-09 08:00:00,8,0,1,3,faible
21,2024-09-09 08:00:00,8,0,1,6,faible
22,2024-09-09 08:00:00,8,0,0,3,faible
23,2024-09-09 08:00:00,8,0,1,3,faible
24,2024-09-09 08:00:00,8,0,1,7,faible
25,2024-09-09 08:00:00,8,0,1,5,faible
26,2024-09-09 08:00:00,8,0,1,2,faible
27,2024-09-09 08:00:00,8,0,0,4,faible
28,2024-09-09 08:00:00,8,0,0,4,faible
29,2024-09-09 08:00:00,8,0,1,6,faible
30,2024-09-09 08:00:00,8,0,1,6,faible
31,2024-09-09 08:00:00,8,0,1,4,faible
32,2024-09-09 08:00:00,8,0,1,4,faible
33,2024-09-09 08:00:00,8,0,0,2,faible
34,2024-09-09 08:00:00,8,0,1,2,faible
35,2024-09-09 08:00:00,8,0,0,26,moyen
36,2024-09-09 08:00:00,8,0,0,2,faible
37,2024-09-09 08:00:00,8,0,1,3,faible
38,2024-09-09 08:00:00,8,0,1,49,moyen
1,2024-09-09 09:00:00,9,0,1,6,faible
2,2024-09-09 09:00:00,9,0,1,7,faible
3,2024-09-09 09:00:00,9,0,1,4,faible
4,2024-09-09 09:00:00,9,0,1,0,faible
5,2024-09-09 09:00:00,9,0,1,62,moyen
6,2024-09-09 09:00:00,9,0,1,86,moyen
7,2024-09-09 09:00:00,9,0,1,74,moyen
8,2024-09-09 09:00:00,9,0,1,17,eleve
9,2024-09-09 09:00:00,9,0,0,15,moyen
10,2024-09-09 09:00:00,9,0,1,10,moyen
11,2024-09-09 09:00:00,9,0,0,10,moyen
12,2024-09-09 09:00:00,9,0,1,7,moyen
13,2024-09-09 09:00:00,9,0,0,9,moyen
14,2024-09-09 09:00:00,9,0,1,23,moyen
15,2024-09-09 09:00:00,9,0,1,25,moyen
16,2024-09-09 09:00:00,9,0,0,17,moyen
17,2024-09-09 09:00:00,9,0,1,18,moyen
18,2024-09-09 09:00:00,9,0,1,18,moyen
19,2024-09-09 09:00:00,9,0,1,25,moyen
20,2024-09-09 09:00:00,9,0,1,20,moyen
21,2024-09-09 09:00:00,9,0,1,13,moyen
22,2024-09-09 09:00:00,9,0,0,17,moyen
23,2024-09-09 09:00:00,9,0,0,14,moyen
24,2024-09-09 09:00:00,9,0,1,19,moyen
25,2024-09-09 09:00:00,9,0,0,20,moyen
26,2024-09-09 09:00:00,9,0,0,14,moyen
27,2024-09-09 09:00:00,9,0,1,13,moyen
28,2024-09-09 09:00:00,9,0,0,19,moyen
29,2024-09-09 09:00:00,9,0,1,13,moyen
30,2024-09-09 09:00:00,9,0,1,11,moyen
31,2024-09-09 09:00:00,9,0,1,11,moyen
32,2024-09-09 09:00:00,9,0,0,12,moyen
33,2024-09-09 09:00:00,9,0,0,8,moyen
34,2024-09-09 09:00:00,9,0,1,9,moyen
35,2024-09-09 09:00:00,9,0,0,15,faible
36,2024-09-09 09:00:00,9,0,0,9,moyen
37,2024-09-09 09:00:00,9,0,1,9,moyen
38,2024-09-09 09:00:00,9,0,1,47,moyen
1,2024-09-09 10:00:00,10,0,1,8,faible
2,2024-09-09 10:00:00,10,0,1,8,moyen
3,2024-09-09 10:00:00,10,0,1,6,moyen
4,2024-09-09 10:00:00,10,0,1,0,faible
5,2024-09-09 10:00:00,10,0,1,62,moyen
6,2024-09-09 10:00:00,10,0,1,96,moyen
7,2024-09-09 10:00:00,10,0,1,70,moyen
8,2024-09-09 10:00:00,10,0,0,12,moyen
9,2024-09-09 10:00:00,10,0,1,12,moyen
10,2024-09-09 10:00:00,10,0,1,11,moyen
11,2024-09-09 10:00:00,10,0,1,8,moyen
12,2024-09-09 10:00:00,10,0,0,7,moyen
13,2024-09-09 10:00:00,10,0,0,9,moyen
14,2024-09-09 10:00:00,10,0,1,22,moyen
15,2024-09-09 10:00:00,10,0,1,20,moyen
16,2024-09-09 10:00:00,10,0,1,23,moyen
17,2024-09-09 10:00:00,10,0,1,19,moyen
18,2024-09-09 10:00:00,10,0,1,17,moyen
19,2024-09-09 10:00:00,10,0,1,22,moyen
20,2024-09-09 10:00:00,10,0,0,17,moyen
21,2024-09-09 10:00:00,10,0,1,17,moyen
22,2024-09-09 10:00:00,10,0,0,15,moyen
23,2024-09-09 10:00:00,10,0,0,15,moyen
24,2024-09-09 10:00:00,10,0,1,16,moyen
25,2024-09-09 10:00:00,10,0,0,18,moyen
26,2024-09-09 10:00:00,10,0,0,17,moyen
27,2024-09-09 10:00:00,10,0,0,13,moyen
28,2024-09-09 10:00:00,10,0,0,16,moyen
29,2024-09-09 10:00:00,10,0,1,15,moyen
30,2024-09-09 10:00:00,10,0,1,12,moyen
31,2024-09-09 10:00:00,10,0,0,11,moyen
32,2024-09-09 10:00:00,10,0,1,12,moyen
33,2024-09-09 10:00:00,10,0,1,9,moyen
34,2024-09-09 10:00:00,10,0,0,9,moyen
35,2024-09-09 10:00:00,10,0,0,21,faible
36,2024-09-09 10:00:00,10,0,0,8,moyen
37,2024-09-09 10:00:00,10,0,1,8,moyen
38,2024-09-09 10:00:00,10,0,1,47,moyen
1,2024-09-09 11:00:00,11,0,1,10,moyen
2,2024-09-09 11:00:00,11,0,1,6,faible
3,2024-09-09 11:00:00,11,0,1,5,faible
4,2024-09-09 11:00:00,11,0,1,0,faible
5,2024-09-09 11:00:00,11,0,1,67,moyen
6,2024-09-09 11:00:00,11,0,1,107,moyen
7,2024-09-09 11:00:00,11,0,1,69,moyen
8,2024-09-09 11:00:00,11,0,1,11,moyen
9,2024-09-09 11:00:00,11,0,0,12,moyen
10,2024-09-09 11:00:00,11,0,1,11,moyen
11,2024-09-09 11:00:00,11,0,0,9,moyen
12,2024-09-09 11:00:00,11,0,0,7,moyen
13,2024-09-09 11:00:00,11,0,1,9,moyen
14,2024-09-09 11:00:00,11,0,1,23,moyen
15,2024-09-09 11:00:00,11,0,0,21,moyen
16,2024-09-09 11:00:00,11,0,1,16,moyen
17,2024-09-09 11:00:00,11,0,1,21,moyen
18,2024-09-09 11:00:00,11,0,1,16,moyen
19,2024-09-09 11:00:00,11,0,1,24,moyen
20,2024-09-09 11:00:00,11,0,1,19,moyen
21,2024-09-09 11:00:00,11,0,1,17,moyen
