location_id,timestamp,heure_du_jour,jour_semaine,activite_prevue,nombre_etudiants,niveau_congestion
1,2026-05-01 07:00:00,7,4,1,90,eleve
2,2026-05-01 07:00:00,7,4,0,1,faible
3,2026-05-01 07:00:00,7,4,1,44,eleve
4,2026-05-01 07:00:00,7,4,1,39,moyen
5,2026-05-01 07:00:00,7,4,1,52,eleve
6,2026-05-01 07:00:00,7,4,1,54,eleve
7,2026-05-01 07:00:00,7,4,0,7,moyen
8,2026-05-01 07:00:00,7,4,0,2,faible
9,2026-05-01 07:00:00,7,4,0,3,faible
10,2026-05-01 07:00:00,7,4,0,1,faible
11,2026-05-01 07:00:00,7,4,0,0,faible
12,2026-05-01 07:00:00,7,4,1,20,moyen
13,2026-05-01 07:00:00,7,4,0,0,faible
14,2026-05-01 07:00:00,7,4,1,28,eleve
15,2026-05-01 07:00:00,7,4,0,0,faible
16,2026-05-01 07:00:00,7,4,1,18,moyen
17,2026-05-01 07:00:00,7,4,1,23,eleve
1,2026-05-01 08:00:00,8,4,1,105,eleve
2,2026-05-01 08:00:00,8,4,0,0,faible
3,2026-05-01 08:00:00,8,4,1,36,moyen
4,2026-05-01 08:00:00,8,4,1,48,eleve
5,2026-05-01 08:00:00,8,4,0,0,faible
6,2026-05-01 08:00:00,8,4,0,10,faible
7,2026-05-01 08:00:00,8,4,0,2,faible
8,2026-05-01 08:00:00,8,4,0,2,faible
9,2026-05-01 08:00:00,8,4,0,0,faible
10,2026-05-01 08:00:00,8,4,0,4,faible
11,2026-05-01 08:00:00,8,4,0,3,faible
12,2026-05-01 08:00:00,8,4,1,23,eleve
13,2026-05-01 08:00:00,8,4,0,2,faible
14,2026-05-01 08:00:00,8,4,1,21,moyen
15,2026-05-01 08:00:00,8,4,1,15,moyen
16,2026-05-01 08:00:00,8,4,0,11,moyen
17,2026-05-01 08:00:00,8,4,1,29,eleve
1,2026-05-01 09:00:00,9,4,1,109,eleve
2,2026-05-01 09:00:00,9,4,0,0,faible
3,2026-05-01 09:00:00,9,4,1,37,moyen
4,2026-05-01 09:00:00,9,4,0,16,faible
5,2026-05-01 09:00:00,9,4,1,36,moyen
6,2026-05-01 09:00:00,9,4,0,9,faible
7,2026-05-01 09:00:00,9,4,0,7,moyen
8,2026-05-01 09:00:00,9,4,0,2,faible
9,2026-05-01 09:00:00,9,4,0,0,faible
10,2026-05-01 09:00:00,9,4,0,4,faible
11,2026-05-01 09:00:00,9,4,0,7,moyen
12,2026-05-01 09:00:00,9,4,0,12,moyen
13,2026-05-01 09:00:00,9,4,1,18,moyen
14,2026-05-01 09:00:00,9,4,1,24,eleve
15,2026-05-01 09:00:00,9,4,0,6,faible
16,2026-05-01 09:00:00,9,4,1,21,moyen
17,2026-05-01 09:00:00,9,4,1,29,eleve
1,2026-05-01 10:00:00,10,4,1,84,moyen
2,2026-05-01 10:00:00,10,4,0,2,faible
3,2026-05-01 10:00:00,10,4,0,6,faible
4,2026-05-01 10:00:00,10,4,1,50,eleve
5,2026-05-01 10:00:00,10,4,0,24,moyen
6,2026-05-01 10:00:00,10,4,0,21,moyen
7,2026-05-01 10:00:00,10,4,0,0,faible
8,2026-05-01 10:00:00,10,4,0,4,faible
9,2026-05-01 10:00:00,10,4,0,2,faible
10,2026-05-01 10:00:00,10,4,0,2,faible
11,2026-05-01 10:00:00,10,4,0,5,moyen
12,2026-05-01 10:00:00,10,4,1,16,moyen
13,2026-05-01 10:00:00,10,4,1,23,eleve
14,2026-05-01 10:00:00,10,4,1,18,moyen
15,2026-05-01 10:00:00,10,4,1,21,moyen
16,2026-05-01 10:00:00,10,4,1,25,eleve
17,2026-05-01 10:00:00,10,4,0,0,faible
1,2026-05-01 11:00:00,11,4,1,95,eleve
2,2026-05-01 11:00:00,11,4,0,0,faible
3,2026-05-01 11:00:00,11,4,0,0,faible
4,2026-05-01 11:00:00,11,4,1,35,moyen
5,2026-05-01 11:00:00,11,4,0,4,faible
6,2026-05-01 11:00:00,11,4,1,33,moyen
7,2026-05-01 11:00:00,11,4,0,2,faible
