id,groupe,type_activite,salle_id,heure_debut,heure_fin,jour_semaine
1,ITT1A,cours,1,2026-05-01 13:00:00,2026-05-01 15:00:00,4
2,ITT1A,cours,17,2026-05-01 17:00:00,2026-05-01 19:00:00,4
3,ITT1A,cours,1,2026-05-01 09:00:00,2026-05-01 11:00:00,4
4,ITT1B,cours,3,2026-05-01 13:00:00,2026-05-01 15:00:00,4
5,ITT1B,cours,1,2026-05-01 17:00:00,2026-05-01 19:00:00,4
6,ITT2A,cours,1,2026-05-01 17:00:00,2026-05-01 19:00:00,4
7,ITT2A,cours,1,2026-05-01 15:00:00,2026-05-01 17:00:00,4
8,ITT2B,cours,1,2026-05-01 11:00:00,2026-05-01 13:00:00,4
9,ITT2B,cours,1,2026-05-01 07:00:00,2026-05-01 09:00:00,4
10,ITT3RC,cours,6,2026-05-01 09:00:00,2026-05-01 11:00:00,4
11,ITT3IR,cours,1,2026-05-01 17:00:00,2026-05-01 19:00:00,4
12,IPT1,cours,6,2026-05-01 17:00:00,2026-05-01 19:00:00,4
13,IPT2,cours,3,2026-05-01 09:00:00,2026-05-01 11:00:00,4
14,ITT1A-G4,tp,5,2026-05-01 15:00:00,2026-05-01 17:00:00,4
15,ITT1A-G4,tp,16,2026-05-01 13:00:00,2026-05-01 15:00:00,4
16,ITT1B-G1,tp,12,2026-05-01 13:00:00,2026-05-01 15:00:00,4
17,ITT1B-G1,tp,12,2026-05-01 11:00:00,2026-05-01 13:00:00,4
18,ITT1B-G2,tp,10,2026-05-01 07:00:00,2026-05-01 09:00:00,4
19,ITT1B-G3,tp,14,2026-05-01 11:00:00,2026-05-01 13:00:00,4
20,ITT2A-G1,tp,2,2026-05-01 17:00:00,2026-05-01 19:00:00,4
21,ITT2A-G2,tp,8,2026-05-01 17:00:00,2026-05-01 19:00:00,4
22,ITT2A-G3,tp,9,2026-05-01 13:00:00,2026-05-01 15:00:00,4
23,ITT2A-G3,tp,6,2026-05-01 11:00:00,2026-05-01 13:00:00,4
24,ITT2A-G4,tp,4,2026-05-01 13:00:00,2026-05-01 15:00:00,4
25,ITT1A,cours,13,2026-05-02 11:00:00,2026-05-02 13:00:00,5
26,ITT1A,cours,13,2026-05-02 15:00:00,2026-05-02 17:00:00,5
27,ITT1A,cours,1,2026-05-02 07:00:00,2026-05-02 09:00:00,5
28,ITT1B,cours,4,2026-05-02 13:00:00,2026-05-02 15:00:00,5
29,ITT2A,cours,1,2026-05-02 09:00:00,2026-05-02 11:00:00,5
30,ITT2A,cours,1,2026-05-02 11:00:00,2026-05-02 13:00:00,5
31,ITT2A,cours,1,2026-05-02 13:00:00,2026-05-02 15:00:00,5
32,ITT2B,cours,3,2026-05-02 15:00:00,2026-05-02 17:00:00,5
33,ITT3RC,cours,1,2026-05-02 07:00:00,2026-05-02 09:00:00,5
34,ITT3RC,cours,1,2026-05-02 17:00:00,2026-05-02 19:00:00,5
35,ITT3IR,cours,1,2026-05-02 09:00:00,2026-05-02 11:00:00,5
36,ITT3IR,cours,5,2026-05-02 17:00:00,2026-05-02 19:00:00,5
37,IPT1,cours,1,2026-05-02 09:00:00,2026-05-02 11:00:00,5
38,IPT2,cours,1,2026-05-02 17:00:00,2026-05-02 19:00:00,5
39,IPT2,cours,13,2026-05-02 07:00:00,2026-05-02 09:00:00,5
40,IPT2,cours,4,2026-05-02 15:00:00,2026-05-02 17:00:00,5
41,ITT1A-G1,tp,2,2026-05-02 15:00:00,2026-05-02 17:00:00,5
42,ITT1A-G1,tp,3,2026-05-02 11:00:00,2026-05-02 13:00:00,5
43,ITT1A-G2,tp,16,2026-05-02 09:00:00,2026-05-02 11:00:00,5
44,ITT1A-G2,tp,11,2026-05-02 07:00:00,2026-05-02 09:00:00,5
45,ITT1A-G3,tp,10,2026-05-02 11:00:00,2026-05-02 13:00:00,5
46,ITT1B-G1,tp,7,2026-05-02 13:00:00,2026-05-02 15:00:00,5
47,ITT1B-G3,tp,16,2026-05-02 15:00:00,2026-05-02 17:00:00,5
48,ITT2A-G2,tp,15,2026-05-02 11:00:00,2026-05-02 13:00:00,5
49,ITT2A-G2,tp,12,2026-05-02 15:00:00,2026-05-02 17:00:00,5
50,ITT2B-G2,tp,12,2026-05-02 07:00:00,2026-05-02 09:00:00,5
51,ITT2B-G2,tp,3,2026-05-02 13:00:00,2026-05-02 15:00:00,5
52,ITT1A,cours,1,2026-05-03 09:00:00,2026-05-03 11:00:00,6
53,ITT1A,cours,1,2026-05-03 07:00:00,2026-05-03 09:00:00,6
54,ITT1A,cours,3,2026-05-03 15:00:00,2026-05-03 17:00:00,6
55,ITT1B,cours,1,2026-05-03 09:00:00,2026-05-03 11:00:00,6
56,ITT2A,cours,1,2026-05-03 15:00:00,2026-05-03 17:00:00,6
57,ITT2A,cours,1,2026-05-03 09:00:00,2026-05-03 11:00:00,6
58,ITT2B,cours,14,2026-05-03 15:00:00,2026-05-03 17:00:00,6
59,ITT2B,cours,14,2026-05-03 17:00:00,2026-05-03 19:00:00,6
60,ITT2B,cours,1,2026-05-03 07:00:00,2026-05-03 09:00:00,6
61,ITT3RC,cours,14,2026-05-03 17:00:00,2026-05-03 19:00:00,6
62,ITT3RC,cours,17,2026-05-03 09:00:00,2026-05-03 11:00:00,6
63,ITT3IR,cours,1,2026-05-03 09:00:00,2026-05-03 11:00:00,6
64,ITT3IR,cours,6,2026-05-03 15:00:00,2026-05-03 17:00:00,6
65,ITT3IR,cours,1,2026-05-03 13:00:00,2026-05-03 15:00:00,6
66,IPT1,cours,1,2026-05-03 07:00:00,2026-05-03 09:00:00,6
67,IPT1,cours,1,2026-05-03 11:00:00,2026-05-03 13:00:00,6
68,IPT1,cours,17,2026-05-03 13:00:00,2026-05-03 15:00:00,6
69,IPT2,cours,1,2026-05-03 15:00:00,2026-05-03 17:00:00,6
70,IPT2,cours,1,2026-05-03 13:00:00,2026-05-03 15:00:00,6
71,ITT1A-G1,tp,17,2026-05-03 13:00:00,2026-05-03 15:00:00,6
72,ITT1A-G1,tp,6,2026-05-03 07:00:00,2026-05-03 09:00:00,6
73,ITT1A-G2,tp,4,2026-05-03 09:00:00,2026-05-03 11:00:00,6
74,ITT1A-G3,tp,4,2026-05-03 09:00:00,2026-05-03 11:00:00,6
75,ITT1B-G1,tp,4,2026-05-03 07:00:00,2026-05-03 09:00:00,6
76,ITT1B-G1,tp,11,2026-05-03 17:00:00,2026-05-03 19:00:00,6
77,ITT1B-G2,tp,6,2026-05-03 17:00:00,2026-05-03 19:00:00,6
78,ITT1B-G2,tp,12,2026-05-03 09:00:00,2026-05-03 11:00:00,6
